date,name,category,value
1984-01-01,France 🇫🇷,Europe,54845984
1984-01-01,Germany 🇩🇪,Europe,77568580
1984-01-01,India 🇮🇳,Asia,762895170
1984-01-01,Indonesia 🇮🇩,Asia,162331970
1984-01-01,Italy 🇮🇹,Europe,56620236
1984-01-01,Japan 🇯🇵,Asia,120470740
1984-01-01,Russia 🇷🇺,Europe,141892540
1984-01-01,United Kingdom 🇬🇧,Europe,56568252
1984-01-01,United States 🇺🇸,Europe,232766290
1985-01-01,Bangladesh 🇧🇩,Asia,95959100
1985-01-01,Brazil 🇧🇷,Americas,136783180
1985-01-01,China 🇨🇳,Asia,1060240000
1985-01-01,France 🇫🇷,Europe,55108104
1985-01-01,Germany 🇩🇪,Europe,77638810
1985-01-01,India 🇮🇳,Asia,780242100
1985-01-01,Indonesia 🇮🇩,Asia,165791700
1985-01-01,Italy 🇮🇹,Europe,56636468
1985-01-01,Japan 🇯🇵,Asia,121119020
1985-01-01,Russia 🇷🇺,Europe,142896380
1985-01-01,United Kingdom 🇬🇧,Europe,56643040
1985-01-01,United States 🇺🇸,Europe,235146180
1986-01-01,Bangladesh 🇧🇩,Asia,98271750
1986-01-01,Brazil 🇧🇷,Americas,139643360
1986-01-01,China 🇨🇳,Asia,1077770500
1986-01-01,France 🇫🇷,Europe,55371640
1986-01-01,Germany 🇩🇪,Europe,77803350
1986-01-01,India 🇮🇳,Asia,797879000
1986-01-01,Indonesia 🇮🇩,Asia,169135280
1986-01-01,Italy 🇮🇹,Europe,56639056
1986-01-01,Japan 🇯🇵,Asia,121710300
1986-01-01,Russia 🇷🇺,Europe,144046480
1986-01-01,United Kingdom 🇬🇧,Europe,56721910
1986-01-01,United States 🇺🇸,Europe,237512780
1987-01-01,Bangladesh 🇧🇩,Asia,100490260
1987-01-01,Brazil 🇧🇷,Americas,142466270
1987-01-01,China 🇨🇳,Asia,1096851800
1987-01-01,France 🇫🇷,Europe,55641536
1987-01-01,Germany 🇩🇪,Europe,78090900
1987-01-01,India 🇮🇳,Asia,815716160
1987-01-01,Indonesia 🇮🇩,Asia,172421390
1987-01-01,Italy 🇮🇹,Europe,56644530
1987-01-01,Japan 🇯🇵,Asia,122268890
1987-01-01,Russia 🇷🇺,Europe,145312020
1987-01-01,United Kingdom 🇬🇧,Europe,56826320
1987-01-01,United States 🇺🇸,Europe,239853170
1988-01-01,Bangladesh 🇧🇩,Asia,102688830
1988-01-01,Brazil 🇧🇷,Americas,145253980
1988-01-01,China 🇨🇳,Asia,1115889800
1988-01-01,France 🇫🇷,Europe,55911476
1988-01-01,Germany 🇩🇪,Europe,78477530
1988-01-01,India 🇮🇳,Asia,833729660
1988-01-01,Indonesia 🇮🇩,Asia,175694640
1988-01-01,Italy 🇮🇹,Europe,56670880
1988-01-01,Japan 🇯🇵,Asia,122798300
1988-01-01,Russia 🇷🇺,Europe,146464380
1988-01-01,United Kingdom 🇬🇧,Europe,56952650
1988-01-01,United States 🇺🇸,Europe,242287800
1989-01-01,Bangladesh 🇧🇩,Asia,104893670
1989-01-01,Brazil 🇧🇷,Americas,148003420
1989-01-01,China 🇨🇳,Asia,1134414700
1989-01-01,France 🇫🇷,Europe,56169944
1989-01-01,Germany 🇩🇪,Europe,78916440
1989-01-01,India 🇮🇳,Asia,852012700
1989-01-01,Indonesia 🇮🇩,Asia,178949170
1989-01-01,Italy 🇮🇹,Europe,56711524
1989-01-01,Japan 🇯🇵,Asia,123270650
1989-01-01,Russia 🇷🇺,Europe,147341500
1989-01-01,United Kingdom 🇬🇧,Europe,57076096
1989-01-01,United States 🇺🇸,Europe,244954100
1990-01-01,Bangladesh 🇧🇩,Asia,107147656
1990-01-01,Brazil 🇧🇷,Americas,150706450
1990-01-01,China 🇨🇳,Asia,1153704200
1990-01-01,France 🇫🇷,Europe,56412896
1990-01-01,Germany 🇩🇪,Europe,79370190
1990-01-01,India 🇮🇳,Asia,870452160
1990-01-01,Indonesia 🇮🇩,Asia,182159890
1990-01-01,Italy 🇮🇹,Europe,56756560
1990-01-01,Japan 🇯🇵,Asia,123686320
1990-01-01,Russia 🇷🇺,Europe,148005700
1990-01-01,United Kingdom 🇬🇧,Europe,57210444
1990-01-01,United States 🇺🇸,Europe,248083730
1991-01-01,Bangladesh 🇧🇩,Asia,109242830
1991-01-01,Brazil 🇧🇷,Americas,153336450
1991-01-01,China 🇨🇳,Asia,1170626200
1991-01-01,France 🇫🇷,Europe,56645216
1991-01-01,Germany 🇩🇪,Europe,79801980
1991-01-01,India 🇮🇳,Asia,888941760
1991-01-01,Indonesia 🇮🇩,Asia,185361230
1991-01-01,Italy 🇮🇹,Europe,56794490
1991-01-01,Japan 🇯🇵,Asia,124073990
1991-01-01,Russia 🇷🇺,Europe,148455410
1991-01-01,United Kingdom 🇬🇧,Europe,57359452
1991-01-01,United States 🇺🇸,Europe,251560200
1992-01-01,Bangladesh 🇧🇩,Asia,111272104
1992-01-01,Brazil 🇧🇷,Americas,155900780
1992-01-01,China 🇨🇳,Asia,1183813400
1992-01-01,France 🇫🇷,Europe,56864050
1992-01-01,Germany 🇩🇪,Europe,80205020
1992-01-01,India 🇮🇳,Asia,907574100
1992-01-01,Indonesia 🇮🇩,Asia,188558420
1992-01-01,Italy 🇮🇹,Europe,56833184
1992-01-01,Japan 🇯🇵,Asia,124444696
1992-01-01,Russia 🇷🇺,Europe,148725600
1992-01-01,United Kingdom 🇬🇧,Europe,57509240
1992-01-01,United States 🇺🇸,Europe,255175330
1993-01-01,Bangladesh 🇧🇩,Asia,113418760
1993-01-01,Brazil 🇧🇷,Americas,158440860
1993-01-01,China 🇨🇳,Asia,1195855600
1993-01-01,France 🇫🇷,Europe,57053730
1993-01-01,Germany 🇩🇪,Europe,80573496
1993-01-01,India 🇮🇳,Asia,926351300
1993-01-01,Indonesia 🇮🇩,Asia,191737280
1993-01-01,Italy 🇮🇹,Europe,56869456
1993-01-01,Japan 🇯🇵,Asia,124779576
1993-01-01,Russia 🇷🇺,Europe,148897280
1993-01-01,United Kingdom 🇬🇧,Europe,57647464
1993-01-01,United States 🇺🇸,Europe,258779760
1994-01-01,Bangladesh 🇧🇩,Asia,115614904
1994-01-01,Brazil 🇧🇷,Americas,160980480
1994-01-01,China 🇨🇳,Asia,1207286700
1994-01-01,France 🇫🇷,Europe,57230064
1994-01-01,Germany 🇩🇪,Europe,80882120
